Missing 3752 needed for 20211115_3D_PL_transaction_1_allocation_24 (CN, null, 2021-03-01 - 2021-03-31)
US_GreenE_28MWh_Nov2020_to_June2021_certificate_1: 6 (US, NPCC, 2020-11-01 - 2020-11-30)
US_GreenE_28MWh_Nov2020_to_June2021_certificate_2: 1 (US, NPCC, 2020-11-01 - 2020-11-30)
US_GreenE_563MWh_Jan_to_August_2021_certificate_3: 11 (US, WECC, 2021-01-01 - 2021-01-31)
US_GreenE_563MWh_Jan_to_August_2021_certificate_4: 6 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_563MWh_Jan_to_August_2021_certificate_5: 20 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_563MWh_Jan_to_August_2021_certificate_6: 18 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_563MWh_Jan_to_August_2021_certificate_7: 1 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_2: 2 (US, RFC, 2021-01-01 - 2021-01-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_3: 1 (US, RFC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_4: 1 (US, RFC, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_5: 2 (US, RFC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_6: 1 (US, RFC, 2021-08-01 - 2021-08-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_7: 1 (US, RFC, 2020-09-01 - 2020-09-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_8: 2 (US, NPCC, 2021-04-01 - 2021-04-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_9: 9 (US, NPCC, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_10: 10 (US, NPCC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_11: 6 (US, NPCC, 2020-11-01 - 2020-11-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_12: 162 (US, WECC, 2021-08-01 - 2021-08-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_13: 25 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_14: 28 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_15: 20 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_16: 13 (US, WECC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_17: 35 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_18: 18 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_20: 24 (US, WECC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_21: 23 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_22: 9 (US, WECC, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_23: 9 (US, WECC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_24: 9 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_25: 19 (US, WECC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_26: 20 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_27: 14 (US, WECC, 2021-04-01 - 2021-04-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_28: 15 (US, WECC, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_29: 15 (US, WECC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_30: 15 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_31: 5 (CA, null, 2021-04-01 - 2021-04-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_32: 4 (CA, null, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_33: 3 (CA, null, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_34: 2 (US, RFC, 2021-04-01 - 2021-04-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_35: 22 (US, WECC, 2021-01-01 - 2021-01-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_36: 1 (US, RFC, 2020-10-01 - 2020-10-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_37: 32 (US, WECC, 2021-01-01 - 2021-01-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_39: 1 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_40: 1 (US, RFC, 2020-11-01 - 2020-11-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_41: 1 (US, RFC, 2020-12-01 - 2020-12-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_42: 1 (US, RFC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_43: 6 (CA, null, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_44: 1 (CA, null, 2021-03-01 - 2021-03-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_45: 1 (US, NPCC, 2020-11-01 - 2020-11-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_46: 11 (US, WECC, 2021-01-01 - 2021-01-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_47: 5 (CA, null, 2020-12-01 - 2020-12-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_48: 5 (CA, null, 2021-01-01 - 2021-01-31)
